"Label (Grouping)","Census Tract 73.01; District of Columbia; District of Columbia!!Estimate","Census Tract 73.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 73.04; District of Columbia; District of Columbia!!Estimate","Census Tract 73.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.01; District of Columbia; District of Columbia!!Estimate","Census Tract 74.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.03; District of Columbia; District of Columbia!!Estimate","Census Tract 74.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.04; District of Columbia; District of Columbia!!Estimate","Census Tract 74.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.06; District of Columbia; District of Columbia!!Estimate","Census Tract 74.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.07; District of Columbia; District of Columbia!!Estimate","Census Tract 74.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.08; District of Columbia; District of Columbia!!Estimate","Census Tract 74.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.09; District of Columbia; District of Columbia!!Estimate","Census Tract 74.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.02; District of Columbia; District of Columbia!!Estimate","Census Tract 75.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.03; District of Columbia; District of Columbia!!Estimate","Census Tract 75.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.04; District of Columbia; District of Columbia!!Estimate","Census Tract 75.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.01; District of Columbia; District of Columbia!!Estimate","Census Tract 76.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.03; District of Columbia; District of Columbia!!Estimate","Census Tract 76.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.04; District of Columbia; District of Columbia!!Estimate","Census Tract 76.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.05; District of Columbia; District of Columbia!!Estimate","Census Tract 76.05; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.03; District of Columbia; District of Columbia!!Estimate","Census Tract 77.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.07; District of Columbia; District of Columbia!!Estimate","Census Tract 77.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.08; District of Columbia; District of Columbia!!Estimate","Census Tract 77.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.09; District of Columbia; District of Columbia!!Estimate","Census Tract 77.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.03; District of Columbia; District of Columbia!!Estimate","Census Tract 78.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.04; District of Columbia; District of Columbia!!Estimate","Census Tract 78.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.06; District of Columbia; District of Columbia!!Estimate","Census Tract 78.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.07; District of Columbia; District of Columbia!!Estimate","Census Tract 78.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.08; District of Columbia; District of Columbia!!Estimate","Census Tract 78.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.09; District of Columbia; District of Columbia!!Estimate","Census Tract 78.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.01; District of Columbia; District of Columbia!!Estimate","Census Tract 96.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.02; District of Columbia; District of Columbia!!Estimate","Census Tract 96.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.03; District of Columbia; District of Columbia!!Estimate","Census Tract 96.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.04; District of Columbia; District of Columbia!!Estimate","Census Tract 96.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 97; District of Columbia; District of Columbia!!Estimate","Census Tract 97; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.01; District of Columbia; District of Columbia!!Estimate","Census Tract 98.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.02; District of Columbia; District of Columbia!!Estimate","Census Tract 98.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.03; District of Columbia; District of Columbia!!Estimate","Census Tract 98.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.04; District of Columbia; District of Columbia!!Estimate","Census Tract 98.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.07; District of Columbia; District of Columbia!!Estimate","Census Tract 98.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.10; District of Columbia; District of Columbia!!Estimate","Census Tract 98.10; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.11; District of Columbia; District of Columbia!!Estimate","Census Tract 98.11; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.01; District of Columbia; District of Columbia!!Estimate","Census Tract 99.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.02; District of Columbia; District of Columbia!!Estimate","Census Tract 99.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.03; District of Columbia; District of Columbia!!Estimate","Census Tract 99.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.04; District of Columbia; District of Columbia!!Estimate","Census Tract 99.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.05; District of Columbia; District of Columbia!!Estimate","Census Tract 99.05; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.06; District of Columbia; District of Columbia!!Estimate","Census Tract 99.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.07; District of Columbia; District of Columbia!!Estimate","Census Tract 99.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 104; District of Columbia; District of Columbia!!Estimate","Census Tract 104; District of Columbia; District of Columbia!!Margin of Error","Census Tract 109; District of Columbia; District of Columbia!!Estimate","Census Tract 109; District of Columbia; District of Columbia!!Margin of Error"
"Total:","1,351","±191","2,853","±582","709","±216","1,330","±304","2,382","±415","1,492","±389","1,931","±404","1,854","±391","2,178","±594","1,931","±470","1,356","±198","1,928","±425","2,398","±599","2,732","±426","2,701","±543","2,245","±443","3,886","±847","2,563","±582","1,341","±429","1,343","±497","2,438","±342","1,853","±511","1,492","±391","1,644","±516","2,470","±614","1,633","±399","1,278","±279","3,218","±396","2,293","±384","1,226","±299","1,890","±427","803","±168","1,046","±161","1,479","±456","1,794","±435","2,088","±463","1,101","±362","2,732","±678","1,130","±232","1,948","±772","1,402","±454","1,926","±381","1,833","±326","937","±159","1,209","±345","3,368","±847","2,310","±392"
"    In labor force:","848","±210","2,155","±609","533","±242","770","±190","1,508","±300","996","±363","1,510","±394","1,121","±378","1,411","±538","1,383","±475","1,118","±217","1,503","±452","1,967","±525","2,284","±427","2,042","±327","1,544","±427","3,169","±810","1,849","±437","1,079","±413","710","±256","1,881","±353","1,032","±396","995","±231","1,196","±362","1,661","±502","1,323","±403","772","±229","2,322","±425","1,946","±402","984","±304","1,498","±417","570","±146","768","±187","932","±317","1,353","±392","1,285","±426","463","±292","2,025","±530","1,030","±238","1,764","±750","1,256","±449","1,373","±375","1,426","±336","725","±149","869","±349","2,481","±868","1,452","±344"
"        Employed:","789","±200","1,709","±622","420","±217","633","±174","1,255","±302","827","±376","1,338","±351","935","±387","1,145","±452","1,048","±402","1,003","±228","1,476","±451","1,841","±515","2,099","±390","1,832","±325","1,472","±434","3,138","±808","1,707","±422","878","±378","629","±246","1,649","±397","1,026","±401","847","±235","890","±189","1,438","±452","1,048","±223","732","±227","2,031","±427","1,457","±337","880","±256","1,373","±424","534","±146","497","±189","805","±300","1,086","±304","1,178","±393","242","±184","1,439","±425","979","±240","1,543","±727","999","±264","1,188","±347","1,128","±291","635","±146","825","±349","2,154","±859","1,294","±357"
"            With health insurance coverage","780","±200","1,639","±614","348","±215","633","±174","1,222","±302","706","±339","1,198","±246","935","±387","1,128","±453","1,048","±402","942","±222","1,355","±440","1,841","±515","2,093","±390","1,812","±321","1,459","±440","2,367","±396","1,588","±411","878","±378","629","±246","1,649","±397","997","±401","783","±224","885","±189","1,438","±452","1,009","±206","671","±231","1,910","±420","1,373","±340","845","±261","1,358","±423","532","±146","497","±189","795","±306","919","±280","1,167","±394","195","±170","1,345","±430","947","±237","1,543","±727","986","±272","1,188","±347","1,128","±291","585","±166","825","±349","2,064","±847","1,272","±347"
"                With private health insurance","772","±200","1,259","±562","217","±184","285","±161","857","±269","465","±279","924","±204","356","±158","739","±422","558","±228","790","±207","582","±255","1,375","±393","1,696","±418","1,443","±353","1,007","±418","1,249","±326","1,268","±454","460","±253","389","±184","1,275","±388","482","±211","655","±142","646","±183","1,079","±422","858","±198","487","±219","1,253","±365","1,012","±371","648","±208","744","±483","321","±120","358","±158","554","±278","650","±216","959","±395","146","±155","979","±408","851","±175","1,466","±728","811","±278","962","±296","862","±267","331","±142","487","±180","1,511","±716","577","±265"
"                With public coverage","150","±108","501","±299","131","±129","447","±143","461","±204","271","±129","303","±153","579","±359","523","±265","611","±333","174","±98","810","±384","555","±401","673","±302","483","±169","475","±222","1,167","±286","441","±183","424","±204","275","±123","491","±234","567","±368","192","±135","279","±136","391","±233","221","±154","239","±124","734","±242","490","±192","229","±172","662","±358","229","±109","307","±171","314","±176","416","±199","219","±185","147","±164","472","±292","148","±118","122","±80","224","±109","226","±127","307","±196","311","±96","350","±344","618","±325","800","±245"
"            No health insurance coverage","9","±15","70","±87","72","±74","0","±15","33","±49","121","±190","140","±170","0","±15","17","±25","0","±15","61","±56","121","±129","0","±15","6","±11","20","±32","13","±21","771","±777","119","±96","0","±15","0","±15","0","±15","29","±31","64","±93","5","±7","0","±15","39","±76","61","±82","121","±120","84","±102","35","±32","15","±24","2","±5","0","±15","10","±54","167","±185","11","±14","47","±77","94","±106","32","±30","0","±15","13","±35","0","±15","0","±15","50","±50","0","±15","90","±112","22","±41"
"        Unemployed:","59","±43","446","±252","113","±95","137","±96","253","±129","169","±147","172","±127","186","±199","266","±169","335","±276","115","±86","27","±25","126","±121","185","±124","210","±173","72","±61","31","±48","142","±113","201","±174","81","±71","232","±173","6","±14","148","±85","306","±312","223","±176","275","±276","40","±41","291","±165","489","±224","104","±80","125","±130","36","±50","271","±104","127","±116","267","±167","107","±154","221","±184","586","±368","51","±41","221","±119","257","±307","185","±89","298","±229","90","±63","44","±51","327","±246","158","±141"
"            With health insurance coverage","47","±40","391","±228","100","±94","137","±96","168","±106","116","±123","127","±111","186","±199","253","±169","335","±276","105","±80","9","±14","19","±27","172","±122","210","±173","72","±61","31","±48","96","±77","117","±134","43","±39","232","±173","6","±14","144","±84","304","±312","223","±176","223","±254","40","±41","291","±165","467","±225","104","±80","125","±130","36","±50","271","±104","53","±77","224","±171","107","±154","221","±184","562","±352","20","±24","221","±119","257","±307","169","±89","298","±229","36","±31","19","±31","246","±126","158","±141"
"                With private health insurance","47","±40","27","±43","59","±87","0","±15","21","±33","0","±15","20","±31","46","±70","51","±61","148","±215","1","±2","0","±15","16","±27","0","±15","41","±53","9","±15","31","±48","9","±14","46","±70","0","±15","20","±33","0","±15","60","±61","270","±308","15","±24","17","±27","7","±11","108","±112","50","±70","49","±48","47","±76","0","±15","16","±25","0","±15","64","±101","0","±15","0","±15","256","±297","13","±21","56","±81","18","±29","42","±50","61","±62","22","±24","0","±15","50","±75","30","±42"
