"Label (Grouping)","Census Tract 73.01; District of Columbia; District of Columbia!!Estimate","Census Tract 73.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 73.04; District of Columbia; District of Columbia!!Estimate","Census Tract 73.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.01; District of Columbia; District of Columbia!!Estimate","Census Tract 74.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.03; District of Columbia; District of Columbia!!Estimate","Census Tract 74.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.04; District of Columbia; District of Columbia!!Estimate","Census Tract 74.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.06; District of Columbia; District of Columbia!!Estimate","Census Tract 74.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.07; District of Columbia; District of Columbia!!Estimate","Census Tract 74.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.08; District of Columbia; District of Columbia!!Estimate","Census Tract 74.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.09; District of Columbia; District of Columbia!!Estimate","Census Tract 74.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.02; District of Columbia; District of Columbia!!Estimate","Census Tract 75.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.03; District of Columbia; District of Columbia!!Estimate","Census Tract 75.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.04; District of Columbia; District of Columbia!!Estimate","Census Tract 75.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.01; District of Columbia; District of Columbia!!Estimate","Census Tract 76.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.03; District of Columbia; District of Columbia!!Estimate","Census Tract 76.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.04; District of Columbia; District of Columbia!!Estimate","Census Tract 76.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.05; District of Columbia; District of Columbia!!Estimate","Census Tract 76.05; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.03; District of Columbia; District of Columbia!!Estimate","Census Tract 77.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.07; District of Columbia; District of Columbia!!Estimate","Census Tract 77.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.08; District of Columbia; District of Columbia!!Estimate","Census Tract 77.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.09; District of Columbia; District of Columbia!!Estimate","Census Tract 77.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.03; District of Columbia; District of Columbia!!Estimate","Census Tract 78.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.04; District of Columbia; District of Columbia!!Estimate","Census Tract 78.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.06; District of Columbia; District of Columbia!!Estimate","Census Tract 78.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.07; District of Columbia; District of Columbia!!Estimate","Census Tract 78.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.08; District of Columbia; District of Columbia!!Estimate","Census Tract 78.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.09; District of Columbia; District of Columbia!!Estimate","Census Tract 78.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.01; District of Columbia; District of Columbia!!Estimate","Census Tract 96.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.02; District of Columbia; District of Columbia!!Estimate","Census Tract 96.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.03; District of Columbia; District of Columbia!!Estimate","Census Tract 96.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.04; District of Columbia; District of Columbia!!Estimate","Census Tract 96.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 97; District of Columbia; District of Columbia!!Estimate","Census Tract 97; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.01; District of Columbia; District of Columbia!!Estimate","Census Tract 98.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.02; District of Columbia; District of Columbia!!Estimate","Census Tract 98.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.03; District of Columbia; District of Columbia!!Estimate","Census Tract 98.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.04; District of Columbia; District of Columbia!!Estimate","Census Tract 98.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.07; District of Columbia; District of Columbia!!Estimate","Census Tract 98.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.10; District of Columbia; District of Columbia!!Estimate","Census Tract 98.10; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.11; District of Columbia; District of Columbia!!Estimate","Census Tract 98.11; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.01; District of Columbia; District of Columbia!!Estimate","Census Tract 99.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.02; District of Columbia; District of Columbia!!Estimate","Census Tract 99.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.03; District of Columbia; District of Columbia!!Estimate","Census Tract 99.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.04; District of Columbia; District of Columbia!!Estimate","Census Tract 99.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.05; District of Columbia; District of Columbia!!Estimate","Census Tract 99.05; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.06; District of Columbia; District of Columbia!!Estimate","Census Tract 99.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.07; District of Columbia; District of Columbia!!Estimate","Census Tract 99.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 104; District of Columbia; District of Columbia!!Estimate","Census Tract 104; District of Columbia; District of Columbia!!Margin of Error","Census Tract 109; District of Columbia; District of Columbia!!Estimate","Census Tract 109; District of Columbia; District of Columbia!!Margin of Error"
"Total:","1,339","±230","2,222","±527","670","±206","1,011","±200","1,351","±226","1,160","±252","1,565","±181","1,435","±316","1,655","±375","1,669","±319","984","±146","1,346","±216","1,875","±351","2,197","±247","2,027","±305","1,994","±368","2,289","±371","1,830","±305","1,128","±208","1,112","±340","2,415","±449","1,568","±372","1,200","±219","935","±164","1,554","±274","1,224","±130","855","±165","2,234","±216","1,899","±216","875","±73","1,703","±538","1,077","±329","891","±221","1,394","±326","1,026","±172","1,754","±295","948","±234","1,782","±334","986","±143","1,240","±327","697","±113","1,286","±237","1,307","±237","746","±158","878","±96","2,275","±825","1,265","±138"
"    Less than $10,000","12","±19","402","±197","51","±55","179","±126","230","±103","130","±127","227","±124","512","±162","145","±110","156","±111","188","±123","217","±136","211","±113","262","±158","125","±77","504","±354","392","±226","123","±72","133","±107","300","±315","649","±277","163","±145","99","±89","90","±52","253","±147","163","±90","245","±161","210","±154","405","±206","97","±67","163","±111","199","±101","134","±80","160","±120","167","±191","264","±190","268","±222","167","±104","25","±26","59","±49","36","±33","219","±179","45","±71","3","±6","200","±117","211","±118","68","±99"
"    $10,000 to $14,999","0","±15","75","±94","86","±102","214","±154","67","±56","66","±50","149","±116","0","±15","387","±327","90","±74","61","±51","74","±62","114","±143","72","±71","11","±16","34","±52","40","±49","187","±179","62","±89","94","±84","119","±110","130","±75","130","±162","38","±38","29","±31","47","±59","40","±38","269","±144","147","±120","6","±9","64","±56","365","±306","159","±100","499","±328","159","±130","92","±96","69","±71","159","±114","7","±10","76","±86","9","±13","66","±72","142","±145","26","±36","96","±73","151","±86","126","±130"
"    $15,000 to $19,999","0","±15","69","±89","74","±73","120","±127","22","±26","119","±139","15","±25","0","±15","27","±43","57","±54","132","±151","132","±162","193","±174","47","±79","138","±113","4","±8","91","±96","55","±58","6","±13","49","±54","22","±38","68","±67","29","±38","27","±30","72","±105","48","±40","30","±33","12","±20","82","±107","4","±7","283","±313","73","±49","0","±15","3","±6","62","±63","21","±36","40","±51","13","±14","0","±15","7","±11","22","±23","15","±24","121","±111","61","±55","0","±15","16","±29","45","±76"
"    $20,000 to $24,999","0","±15","46","±63","13","±21","56","±82","161","±153","203","±137","65","±56","153","±196","138","±132","155","±100","0","±15","0","±15","64","±107","0","±15","2","±5","47","±51","46","±58","87","±85","130","±115","0","±15","144","±115","164","±109","46","±69","18","±19","82","±111","62","±66","16","±15","106","±88","140","±128","29","±38","47","±62","52","±49","89","±97","63","±98","17","±22","108","±154","98","±88","43","±51","10","±16","49","±53","16","±18","45","±50","43","±41","32","±28","58","±56","0","±15","153","±126"
"    $25,000 to $29,999","0","±15","42","±49","41","±32","9","±15","0","±15","37","±66","26","±40","104","±107","137","±124","30","±43","47","±57","0","±15","59","±53","52","±83","0","±15","97","±122","0","±21","93","±84","80","±124","59","±64","15","±25","54","±50","30","±48","7","±12","16","±25","57","±65","0","±15","61","±96","120","±99","19","±22","118","±139","8","±11","30","±44","0","±15","33","±57","39","±44","20","±44","0","±15","68","±96","0","±15","0","±15","28","±43","29","±44","10","±15","6","±10","19","±30","158","±118"
"    $30,000 to $34,999","20","±24","52","±57","94","±120","85","±96","51","±53","17","±41","162","±137","0","±15","0","±15","160","±212","3","±6","66","±78","1","±3","0","±15","124","±111","74","±76","20","±28","10","±16","15","±25","29","±34","65","±56","64","±58","22","±34","41","±34","9","±28","0","±15","23","±24","139","±95","1","±2","15","±13","0","±15","36","±55","43","±51","54","±91","0","±15","316","±289","0","±15","6","±13","30","±32","47","±50","0","±15","36","±56","30","±38","11","±15","31","±37","26","±37","73","±59"
"    $35,000 to $39,999","49","±52","11","±22","24","±24","110","±130","98","±84","0","±15","29","±33","156","±221","17","±28","69","±59","16","±22","190","±140","56","±77","45","±69","56","±49","50","±41","104","±143","0","±15","58","±86","54","±62","249","±365","210","±226","89","±84","42","±41","22","±33","0","±15","66","±83","130","±120","151","±119","54","±51","29","±35","0","±15","75","±112","27","±31","30","±47","11","±20","20","±41","59","±66","33","±32","35","±38","7","±10","4","±7","41","±47","27","±41","51","±55","88","±88","84","±96"
"    $40,000 to $44,999","29","±34","427","±471","42","±43","0","±15","10","±17","8","±30","44","±43","0","±15","88","±148","97","±72","41","±68","73","±70","18","±30","68","±82","107","±110","32","±38","18","±33","26","±39","7","±11","1","±3","0","±15","0","±15","121","±115","11","±16","67","±80","25","±51","65","±51","205","±183","39","±37","31","±30","47","±76","0","±15","0","±15","155","±138","0","±15","31","±39","104","±84","141","±134","6","±9","31","±50","57","±66","30","±39","33","±39","52","±43","37","±39","141","±118","94","±110"
"    $45,000 to $49,999","0","±15","201","±143","48","±66","0","±15","38","±47","0","±15","34","±50","22","±47","93","±102","110","±105","28","±46","85","±108","0","±15","58","±72","50","±49","52","±66","0","±21","48","±81","126","±146","25","±27","72","±97","24","±41","6","±12","12","±19","98","±143","20","±35","46","±64","117","±107","0","±15","15","±17","69","±78","28","±35","9","±18","0","±15","60","±63","0","±15","0","±15","216","±156","11","±17","56","±52","33","±33","31","±47","16","±26","21","±25","0","±15","78","±80","96","±89"
"    $50,000 to $59,999","143","±131","0","±21","0","±15","73","±116","177","±164","333","±144","95","±98","62","±55","205","±164","198","±131","35","±55","62","±95","114","±132","24","±37","170","±100","194","±149","60","±119","196","±165","196","±153","99","±70","111","±98","0","±15","61","±58","77","±61","124","±158","40","±44","9","±17","175","±122","200","±153","55","±46","102","±89","25","±21","16","±18","27","±43","99","±95","53","±78","143","±170","460","±310","62","±44","30","±32","37","±34","228","±148","41","±38","72","±52","0","±15","94","±85","15","±49"
