"Label (Grouping)","Census Tract 73.01; District of Columbia; District of Columbia!!Estimate","Census Tract 73.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 73.04; District of Columbia; District of Columbia!!Estimate","Census Tract 73.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.01; District of Columbia; District of Columbia!!Estimate","Census Tract 74.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.03; District of Columbia; District of Columbia!!Estimate","Census Tract 74.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.04; District of Columbia; District of Columbia!!Estimate","Census Tract 74.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.06; District of Columbia; District of Columbia!!Estimate","Census Tract 74.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.07; District of Columbia; District of Columbia!!Estimate","Census Tract 74.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.08; District of Columbia; District of Columbia!!Estimate","Census Tract 74.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.09; District of Columbia; District of Columbia!!Estimate","Census Tract 74.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.02; District of Columbia; District of Columbia!!Estimate","Census Tract 75.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.03; District of Columbia; District of Columbia!!Estimate","Census Tract 75.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.04; District of Columbia; District of Columbia!!Estimate","Census Tract 75.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.01; District of Columbia; District of Columbia!!Estimate","Census Tract 76.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.03; District of Columbia; District of Columbia!!Estimate","Census Tract 76.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.04; District of Columbia; District of Columbia!!Estimate","Census Tract 76.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.05; District of Columbia; District of Columbia!!Estimate","Census Tract 76.05; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.03; District of Columbia; District of Columbia!!Estimate","Census Tract 77.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.07; District of Columbia; District of Columbia!!Estimate","Census Tract 77.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.08; District of Columbia; District of Columbia!!Estimate","Census Tract 77.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.09; District of Columbia; District of Columbia!!Estimate","Census Tract 77.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.03; District of Columbia; District of Columbia!!Estimate","Census Tract 78.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.04; District of Columbia; District of Columbia!!Estimate","Census Tract 78.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.06; District of Columbia; District of Columbia!!Estimate","Census Tract 78.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.07; District of Columbia; District of Columbia!!Estimate","Census Tract 78.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.08; District of Columbia; District of Columbia!!Estimate","Census Tract 78.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.09; District of Columbia; District of Columbia!!Estimate","Census Tract 78.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.01; District of Columbia; District of Columbia!!Estimate","Census Tract 96.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.02; District of Columbia; District of Columbia!!Estimate","Census Tract 96.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.03; District of Columbia; District of Columbia!!Estimate","Census Tract 96.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.04; District of Columbia; District of Columbia!!Estimate","Census Tract 96.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 97; District of Columbia; District of Columbia!!Estimate","Census Tract 97; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.01; District of Columbia; District of Columbia!!Estimate","Census Tract 98.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.02; District of Columbia; District of Columbia!!Estimate","Census Tract 98.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.03; District of Columbia; District of Columbia!!Estimate","Census Tract 98.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.04; District of Columbia; District of Columbia!!Estimate","Census Tract 98.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.07; District of Columbia; District of Columbia!!Estimate","Census Tract 98.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.10; District of Columbia; District of Columbia!!Estimate","Census Tract 98.10; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.11; District of Columbia; District of Columbia!!Estimate","Census Tract 98.11; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.01; District of Columbia; District of Columbia!!Estimate","Census Tract 99.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.02; District of Columbia; District of Columbia!!Estimate","Census Tract 99.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.03; District of Columbia; District of Columbia!!Estimate","Census Tract 99.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.04; District of Columbia; District of Columbia!!Estimate","Census Tract 99.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.05; District of Columbia; District of Columbia!!Estimate","Census Tract 99.05; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.06; District of Columbia; District of Columbia!!Estimate","Census Tract 99.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.07; District of Columbia; District of Columbia!!Estimate","Census Tract 99.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 104; District of Columbia; District of Columbia!!Estimate","Census Tract 104; District of Columbia; District of Columbia!!Margin of Error","Census Tract 109; District of Columbia; District of Columbia!!Estimate","Census Tract 109; District of Columbia; District of Columbia!!Margin of Error"
"Total:","1,339","±230","2,222","±527","670","±206","1,011","±200","1,351","±226","1,160","±252","1,565","±181","1,435","±316","1,655","±375","1,669","±319","984","±146","1,346","±216","1,875","±351","2,197","±247","2,027","±305","1,994","±368","2,289","±371","1,830","±305","1,128","±208","1,112","±340","2,415","±449","1,568","±372","1,200","±219","935","±164","1,554","±274","1,224","±130","855","±165","2,234","±216","1,899","±216","875","±73","1,703","±538","1,077","±329","891","±221","1,394","±326","1,026","±172","1,754","±295","948","±234","1,782","±334","986","±143","1,240","±327","697","±113","1,286","±237","1,307","±237","746","±158","878","±96","2,275","±825","1,265","±138"
"    Owned Units with a Mortgage","0","±15","504","±201","136","±79","77","±84","347","±119","98","±105","450","±166","15","±25","337","±153","252","±239","241","±136","321","±119","462","±151","492","±212","622","±272","435","±216","598","±377","512","±286","100","±60","198","±84","926","±429","251","±120","261","±80","471","±179","564","±290","671","±161","251","±90","352","±114","472","±155","383","±96","526","±430","39","±35","141","±105","294","±173","185","±81","331","±148","1","±13","249","±126","579","±130","553","±130","352","±120","494","±202","540","±140","189","±78","185","±74","830","±564","33","±43"
"        Over 30 Percent","0","±15","72","±57","51","±67","0","±15","97","±74","98","±105","127","±78","0","±15","164","±110","46","±56","67","±74","136","±97","158","±140","78","±74","167","±206","259","±213","316","±322","122","±94","0","±15","68","±55","514","±395","103","±88","38","±32","167","±80","244","±194","136","±81","67","±47","66","±84","95","±62","131","±72","97","±71","16","±20","16","±25","104","±97","45","±45","93","±65","0","±15","136","±114","91","±63","281","±118","49","±34","74","±57","187","±113","61","±40","47","±45","123","±68","15","±27"
"        Over 50 Percent","0","±15","35","±42","0","±15","0","±15","27","±31","0","±15","62","±57","0","±15","40","±60","19","±36","13","±20","69","±57","140","±138","12","±19","13","±13","235","±210","90","±96","16","±22","0","±15","52","±49","102","±68","45","±44","9","±13","39","±29","51","±47","56","±50","5","±8","0","±21","90","±61","76","±62","66","±75","0","±15","0","±15","75","±85","37","±39","37","±46","0","±15","61","±69","20","±23","96","±65","24","±22","34","±43","74","±64","29","±24","19","±20","67","±60","0","±15"
"        Not Calculated","0","±15","0","±21","0","±15","0","±15","28","±51","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","7","±13","0","±15","0","±21","10","±15","0","±15","0","±15","17","±31","0","±15","0","±15","11","±19","11","±30","0","±15","0","±15","0","±21","0","±15","0","±15","0","±15","0","±15","0","±15","49","±77","0","±15","10","±21","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","2","±5","0","±15","8","±15","0","±15"
"    Owned Units without a Mortgage","0","±15","47","±40","5","±9","14","±22","8","±13","0","±15","197","±89","0","±15","82","±66","53","±56","35","±31","99","±96","157","±105","166","±84","155","±87","154","±143","332","±164","376","±148","57","±48","75","±55","24","±26","162","±88","257","±77","170","±103","186","±130","102","±59","51","±37","10","±20","231","±166","218","±60","137","±108","67","±54","155","±125","20","±27","13","±15","90","±63","25","±32","69","±64","200","±75","413","±339","185","±84","68","±79","263","±166","153","±138","60","±50","229","±317","0","±15"
"        Over 30 Percent","0","±15","0","±21","0","±15","0","±15","0","±15","0","±15","50","±48","0","±15","17","±29","0","±15","0","±15","0","±15","0","±15","35","±39","0","±15","15","±31","0","±21","8","±13","0","±15","0","±15","0","±15","72","±71","34","±36","19","±28","38","±37","19","±23","23","±24","0","±21","79","±114","27","±25","0","±15","0","±15","0","±15","20","±27","0","±15","26","±28","0","±15","6","±10","32","±26","16","±18","43","±39","0","±15","28","±43","0","±15","0","±15","0","±15","0","±15"
"        Over 50 Percent","0","±15","0","±21","0","±15","0","±15","0","±15","0","±15","50","±48","0","±15","17","±29","0","±15","0","±15","0","±15","0","±15","32","±39","0","±15","15","±31","0","±21","8","±13","0","±15","0","±15","0","±15","53","±64","34","±36","0","±15","38","±37","0","±15","5","±10","0","±21","7","±13","9","±12","0","±15","0","±15","0","±15","0","±15","0","±15","26","±28","0","±15","6","±10","25","±23","16","±18","21","±31","0","±15","28","±43","0","±15","0","±15","0","±15","0","±15"
"        Not Calculated","0","±15","0","±21","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","23","±36","0","±15","0","±21","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","11","±16","0","±15","1","±3","0","±15","0","±21","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","9","±35","0","±15","0","±15","0","±15","1","±3","0","±15","0","±15","0","±15","0","±15","0","±15"
"    Rented","1,339","±230","1,671","±494","529","±202","920","±215","996","±237","1,062","±290","918","±271","1,420","±317","1,236","±386","1,364","±231","708","±142","926","±226","1,256","±360","1,539","±283","1,250","±252","1,405","±352","1,359","±275","942","±258","971","±220","839","±348","1,465","±255","1,155","±388","682","±222","294","±73","804","±184","451","±138","553","±189","1,872","±235","1,196","±211","274","±71","1,040","±328","971","±343","595","±179","1,080","±315","828","±195","1,333","±331","922","±228","1,464","±363","207","±123","274","±114","160","±89","724","±197","504","±186","404","±79","633","±110","1,216","±326","1,232","±141"
"        Over 30 Percent","565","±161","999","±487","381","±169","659","±206","577","±198","582","±200","450","±237","599","±308","705","±368","723","±204","418","±162","535","±258","555","±215","446","±209","518","±215","629","±332","638","±241","564","±238","385","±206","536","±325","550","±241","671","±374","448","±199","127","±65","458","±219","247","±149","251","±149","1,146","±298","743","±253","85","±64","518","±347","300","±102","306","±108","799","±340","586","±188","680","±333","589","±203","527","±167","84","±76","90","±77","59","±66","513","±183","391","±202","206","±83","148","±62","561","±174","661","±211"
