"Label (Grouping)","Census Tract 73.01; District of Columbia; District of Columbia!!Estimate","Census Tract 73.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 73.04; District of Columbia; District of Columbia!!Estimate","Census Tract 73.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.01; District of Columbia; District of Columbia!!Estimate","Census Tract 74.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.03; District of Columbia; District of Columbia!!Estimate","Census Tract 74.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.04; District of Columbia; District of Columbia!!Estimate","Census Tract 74.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.06; District of Columbia; District of Columbia!!Estimate","Census Tract 74.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.07; District of Columbia; District of Columbia!!Estimate","Census Tract 74.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.08; District of Columbia; District of Columbia!!Estimate","Census Tract 74.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.09; District of Columbia; District of Columbia!!Estimate","Census Tract 74.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.02; District of Columbia; District of Columbia!!Estimate","Census Tract 75.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.03; District of Columbia; District of Columbia!!Estimate","Census Tract 75.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.04; District of Columbia; District of Columbia!!Estimate","Census Tract 75.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.01; District of Columbia; District of Columbia!!Estimate","Census Tract 76.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.03; District of Columbia; District of Columbia!!Estimate","Census Tract 76.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.04; District of Columbia; District of Columbia!!Estimate","Census Tract 76.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.05; District of Columbia; District of Columbia!!Estimate","Census Tract 76.05; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.03; District of Columbia; District of Columbia!!Estimate","Census Tract 77.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.07; District of Columbia; District of Columbia!!Estimate","Census Tract 77.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.08; District of Columbia; District of Columbia!!Estimate","Census Tract 77.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.09; District of Columbia; District of Columbia!!Estimate","Census Tract 77.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.03; District of Columbia; District of Columbia!!Estimate","Census Tract 78.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.04; District of Columbia; District of Columbia!!Estimate","Census Tract 78.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.06; District of Columbia; District of Columbia!!Estimate","Census Tract 78.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.07; District of Columbia; District of Columbia!!Estimate","Census Tract 78.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.08; District of Columbia; District of Columbia!!Estimate","Census Tract 78.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.09; District of Columbia; District of Columbia!!Estimate","Census Tract 78.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.01; District of Columbia; District of Columbia!!Estimate","Census Tract 96.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.02; District of Columbia; District of Columbia!!Estimate","Census Tract 96.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.03; District of Columbia; District of Columbia!!Estimate","Census Tract 96.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.04; District of Columbia; District of Columbia!!Estimate","Census Tract 96.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 97; District of Columbia; District of Columbia!!Estimate","Census Tract 97; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.01; District of Columbia; District of Columbia!!Estimate","Census Tract 98.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.02; District of Columbia; District of Columbia!!Estimate","Census Tract 98.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.03; District of Columbia; District of Columbia!!Estimate","Census Tract 98.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.04; District of Columbia; District of Columbia!!Estimate","Census Tract 98.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.07; District of Columbia; District of Columbia!!Estimate","Census Tract 98.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.10; District of Columbia; District of Columbia!!Estimate","Census Tract 98.10; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.11; District of Columbia; District of Columbia!!Estimate","Census Tract 98.11; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.01; District of Columbia; District of Columbia!!Estimate","Census Tract 99.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.02; District of Columbia; District of Columbia!!Estimate","Census Tract 99.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.03; District of Columbia; District of Columbia!!Estimate","Census Tract 99.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.04; District of Columbia; District of Columbia!!Estimate","Census Tract 99.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.05; District of Columbia; District of Columbia!!Estimate","Census Tract 99.05; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.06; District of Columbia; District of Columbia!!Estimate","Census Tract 99.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.07; District of Columbia; District of Columbia!!Estimate","Census Tract 99.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 104; District of Columbia; District of Columbia!!Estimate","Census Tract 104; District of Columbia; District of Columbia!!Margin of Error","Census Tract 109; District of Columbia; District of Columbia!!Estimate","Census Tract 109; District of Columbia; District of Columbia!!Margin of Error"
"Total:","1,446","±197","3,373","±664","982","±314","1,658","±360","2,723","±452","1,608","±397","2,502","±435","2,405","±368","2,737","±503","2,509","±545","1,553","±302","2,251","±455","3,021","±582","3,449","±546","3,484","±698","3,191","±503","4,729","±905","3,219","±571","2,006","±535","1,796","±498","3,459","±809","2,516","±492","1,902","±428","1,965","±496","3,115","±634","2,103","±479","1,580","±361","3,796","±409","3,168","±539","1,579","±291","2,509","±535","1,469","±362","1,415","±297","1,968","±467","2,104","±432","2,663","±445","1,510","±580","3,030","±677","1,771","±290","2,342","±786","1,630","±447","2,121","±408","2,431","±481","1,297","±320","1,545","±352","3,131","±860","2,397","±453"
"    In the civilian labor force:","888","±210","2,165","±633","598","±270","869","±248","1,508","±300","1,018","±369","1,563","±394","1,286","±383","1,548","±520","1,537","±455","1,104","±220","1,567","±451","2,107","±559","2,391","±442","2,160","±347","1,775","±445","3,367","±819","1,925","±443","1,231","±390","779","±257","2,098","±415","1,070","±396","1,082","±227","1,204","±365","1,839","±522","1,412","±413","848","±267","2,534","±424","2,059","±406","1,063","±301","1,580","±447","630","±156","798","±188","1,028","±332","1,425","±432","1,487","±417","549","±281","2,043","±498","1,089","±241","1,902","±741","1,313","±450","1,363","±378","1,478","±342","789","±169","1,014","±358","2,392","±848","1,354","±295"
"        Employed:","829","±201","1,774","±635","485","±247","732","±241","1,255","±302","827","±376","1,391","±352","1,006","±387","1,252","±436","1,178","±402","1,017","±232","1,540","±451","1,956","±536","2,212","±407","1,950","±343","1,703","±448","3,209","±809","1,760","±422","971","±361","698","±246","1,766","±412","1,064","±401","934","±221","881","±179","1,581","±452","1,137","±236","750","±223","2,146","±430","1,570","±354","951","±253","1,455","±446","576","±156","527","±186","895","±320","1,086","±304","1,361","±387","328","±194","1,481","±386","1,038","±239","1,674","±712","1,056","±276","1,184","±348","1,180","±299","699","±167","970","±358","2,170","±861","1,213","±312"
"            Has a computer:","829","±201","1,669","±637","420","±217","732","±241","1,255","±302","827","±376","1,372","±365","1,006","±387","1,121","±438","1,167","±401","1,017","±232","1,540","±451","1,956","±536","2,193","±407","1,939","±346","1,681","±448","3,139","±827","1,750","±423","940","±361","641","±240","1,752","±410","1,019","±400","902","±229","849","±177","1,581","±452","1,046","±212","750","±223","2,103","±434","1,549","±353","951","±253","1,455","±446","576","±156","480","±179","819","±314","1,060","±296","1,361","±387","321","±195","1,481","±386","1,038","±239","1,674","±712","1,047","±276","1,184","±348","1,180","±299","667","±169","970","±358","2,147","±859","1,213","±312"
"                With dial-up Internet subscription alone","0","±15","0","±21","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±21","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±21","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15"
"                With a broadband Internet subscription","829","±201","1,635","±633","420","±217","724","±238","1,110","±340","782","±386","1,208","±324","901","±371","1,001","±449","1,078","±395","939","±259","1,381","±429","1,913","±545","2,151","±423","1,893","±346","1,373","±395","2,919","±851","1,669","±425","925","±365","305","±133","1,680","±428","1,019","±400","874","±230","816","±183","1,550","±449","971","±225","750","±223","2,086","±433","1,464","±353","888","±259","1,432","±455","508","±152","459","±181","783","±310","1,060","±296","992","±356","254","±193","1,393","±374","1,021","±242","1,654","±711","1,030","±275","1,148","±352","1,122","±312","586","±141","900","±348","2,048","±853","1,151","±302"
"                Without an Internet subscription","0","±15","34","±59","0","±15","8","±18","145","±116","45","±63","164","±135","105","±144","120","±154","89","±87","78","±85","159","±206","43","±70","42","±66","46","±56","308","±297","220","±237","81","±61","15","±25","336","±268","72","±95","0","±15","28","±40","33","±31","31","±49","75","±63","0","±15","17","±28","85","±103","63","±55","23","±41","68","±58","21","±28","36","±52","0","±15","369","±301","67","±97","88","±76","17","±30","20","±34","17","±19","36","±54","58","±75","81","±78","70","±94","99","±80","62","±97"
"            No computer","0","±15","105","±121","65","±113","0","±15","0","±15","0","±15","19","±32","0","±15","131","±122","11","±19","0","±15","0","±15","0","±15","19","±35","11","±16","22","±34","70","±120","10","±16","31","±50","57","±49","14","±22","45","±48","32","±52","32","±47","0","±15","91","±112","0","±15","43","±50","21","±29","0","±15","0","±15","0","±15","47","±51","76","±101","26","±41","0","±15","7","±12","0","±15","0","±15","0","±15","9","±14","0","±15","0","±15","32","±49","0","±15","23","±37","0","±15"
"        Unemployed:","59","±43","391","±228","113","±95","137","±96","253","±129","191","±175","172","±127","280","±238","296","±181","359","±272","87","±73","27","±25","151","±116","179","±123","210","±173","72","±61","158","±157","165","±116","260","±183","81","±71","332","±231","6","±14","148","±85","323","±313","258","±213","275","±276","98","±86","388","±226","489","±224","112","±81","125","±130","54","±56","271","±104","133","±115","339","±207","126","±153","221","±184","562","±352","51","±41","228","±121","257","±307","179","±92","298","±229","90","±63","44","±51","222","±119","141","±135"
"            Has a computer:","59","±43","346","±235","113","±95","137","±96","253","±129","191","±175","172","±127","234","±219","296","±181","359","±272","87","±73","27","±25","150","±117","179","±123","210","±173","72","±61","130","±150","165","±116","222","±178","81","±71","332","±231","6","±14","108","±60","323","±313","258","±213","275","±276","98","±86","388","±226","489","±224","108","±81","125","±130","54","±56","250","±112","133","±115","339","±207","126","±153","216","±185","562","±352","51","±41","228","±121","257","±307","179","±92","298","±229","90","±63","44","±51","222","±119","141","±135"
"                With dial-up Internet subscription alone","0","±15","0","±21","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±21","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±21","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15"
"                With a broadband Internet subscription","59","±43","239","±189","113","±95","77","±63","194","±112","165","±175","172","±127","127","±190","296","±181","358","±272","71","±67","27","±25","150","±117","179","±123","210","±173","35","±43","130","±150","131","±110","221","±178","25","±29","300","±226","6","±14","76","±53","323","±313","258","±213","275","±276","98","±86","388","±226","333","±150","108","±81","125","±130","54","±56","250","±112","60","±91","339","±207","126","±153","216","±185","456","±338","51","±41","228","±121","247","±308","163","±91","298","±229","90","±63","44","±51","150","±106","66","±105"
"                Without an Internet subscription","0","±15","107","±145","0","±15","60","±82","59","±91","26","±44","0","±15","107","±125","0","±15","1","±2","16","±26","0","±15","0","±15","0","±15","0","±15","37","±44","0","±21","34","±39","1","±3","56","±67","32","±51","0","±15","32","±47","0","±15","0","±15","0","±15","0","±15","0","±21","156","±183","0","±15","0","±15","0","±15","0","±15","73","±81","0","±15","0","±15","0","±15","106","±152","0","±15","0","±15","10","±16","16","±25","0","±15","0","±15","0","±15","72","±67","75","±86"
"            No computer","0","±15","45","±80","0","±15","0","±15","0","±15","0","±15","0","±15","46","±70","0","±15","0","±15","0","±15","0","±15","1","±2","0","±15","0","±15","0","±15","28","±48","0","±15","38","±62","0","±15","0","±15","0","±15","40","±65","0","±15","0","±15","0","±15","0","±15","0","±21","0","±15","4","±9","0","±15","0","±15","21","±30","0","±15","0","±15","0","±15","5","±8","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15"
"    Not in labor force:","558","±158","1,208","±411","384","±153","789","±298","1,215","±332","590","±253","939","±281","1,119","±288","1,189","±456","972","±220","449","±217","684","±236","914","±264","1,058","±382","1,324","±596","1,416","±390","1,362","±431","1,294","±398","775","±346","1,017","±390","1,361","±728","1,446","±338","820","±379","761","±214","1,276","±394","691","±175","732","±229","1,262","±260","1,109","±320","516","±169","929","±343","839","±332","617","±264","940","±375","679","±216","1,176","±292","961","±694","987","±385","682","±226","440","±133","317","±109","758","±227","953","±297","508","±300","531","±128","739","±166","1,043","±397"
"        Has a computer:","558","±158","1,063","±401","335","±146","769","±304","1,177","±342","590","±253","870","±281","1,059","±326","1,058","±413","901","±229","392","±203","646","±226","846","±240","1,007","±382","1,172","±592","1,393","±389","1,352","±437","997","±358","542","±225","928","±371","1,198","±729","1,094","±344","811","±382","725","±215","1,233","±383","647","±171","732","±229","1,181","±248","1,065","±325","473","±162","675","±185","768","±335","505","±241","361","±215","679","±216","1,107","±295","913","±684","925","±386","682","±226","419","±133","280","±107","757","±226","891","±307","497","±298","466","±130","586","±163","917","±375"
"            With dial-up Internet subscription alone","0","±15","0","±21","0","±15","29","±46","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","23","±35","0","±15","0","±15","0","±15","0","±21","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±21","0","±15","0","±15","0","±15","14","±20","0","±15","0","±15","0","±15","24","±40","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15"
"            With a broadband Internet subscription","558","±158","943","±378","223","±115","627","±293","1,025","±368","499","±265","824","±278","952","±356","604","±227","724","±216","321","±187","443","±192","768","±260","783","±343","1,117","±591","1,256","±349","1,231","±426","895","±350","534","±223","378","±147","1,031","±725","969","±373","693","±362","672","±214","1,131","±392","579","±176","567","±193","1,114","±247","653","±253","413","±150","552","±180","336","±100","438","±215","308","±212","620","±225","694","±271","780","±674","820","±354","664","±226","382","±135","258","±110","628","±244","854","±302","446","±290","394","±136","531","±156","788","±311"
"            Without an Internet subscription","0","±15","120","±125","112","±125","113","±99","152","±124","91","±100","46","±46","107","±88","454","±384","177","±135","71","±70","203","±171","55","±88","224","±158","55","±47","137","±131","121","±105","102","±81","8","±14","550","±383","167","±153","125","±86","118","±128","53","±48","102","±124","68","±70","165","±144","67","±91","412","±308","60","±50","123","±95","418","±301","67","±76","53","±67","59","±67","389","±283","133","±90","105","±111","18","±21","37","±39","22","±22","129","±109","37","±48","51","±64","72","±69","55","±70","129","±200"
"        No computer","0","±15","145","±216","49","±47","20","±29","38","±42","0","±15","69","±69","60","±95","131","±213","71","±75","57","±54","38","±59","68","±105","51","±62","152","±119","23","±34","10","±26","297","±258","233","±278","89","±77","163","±151","352","±125","9","±13","36","±41","43","±92","44","±45","0","±15","81","±79","44","±40","43","±28","254","±315","71","±55","112","±103","579","±344","0","±15","69","±88","48","±63","62","±45","0","±15","21","±19","37","±36","1","±2","62","±58","11","±15","65","±65","153","±104","126","±192"
