"Label (Grouping)","Census Tract 73.01; District of Columbia; District of Columbia!!Estimate","Census Tract 73.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 73.04; District of Columbia; District of Columbia!!Estimate","Census Tract 73.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.01; District of Columbia; District of Columbia!!Estimate","Census Tract 74.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.03; District of Columbia; District of Columbia!!Estimate","Census Tract 74.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.04; District of Columbia; District of Columbia!!Estimate","Census Tract 74.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.06; District of Columbia; District of Columbia!!Estimate","Census Tract 74.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.07; District of Columbia; District of Columbia!!Estimate","Census Tract 74.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.08; District of Columbia; District of Columbia!!Estimate","Census Tract 74.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.09; District of Columbia; District of Columbia!!Estimate","Census Tract 74.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.02; District of Columbia; District of Columbia!!Estimate","Census Tract 75.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.03; District of Columbia; District of Columbia!!Estimate","Census Tract 75.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.04; District of Columbia; District of Columbia!!Estimate","Census Tract 75.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.01; District of Columbia; District of Columbia!!Estimate","Census Tract 76.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.03; District of Columbia; District of Columbia!!Estimate","Census Tract 76.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.04; District of Columbia; District of Columbia!!Estimate","Census Tract 76.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.05; District of Columbia; District of Columbia!!Estimate","Census Tract 76.05; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.03; District of Columbia; District of Columbia!!Estimate","Census Tract 77.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.07; District of Columbia; District of Columbia!!Estimate","Census Tract 77.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.08; District of Columbia; District of Columbia!!Estimate","Census Tract 77.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.09; District of Columbia; District of Columbia!!Estimate","Census Tract 77.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.03; District of Columbia; District of Columbia!!Estimate","Census Tract 78.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.04; District of Columbia; District of Columbia!!Estimate","Census Tract 78.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.06; District of Columbia; District of Columbia!!Estimate","Census Tract 78.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.07; District of Columbia; District of Columbia!!Estimate","Census Tract 78.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.08; District of Columbia; District of Columbia!!Estimate","Census Tract 78.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.09; District of Columbia; District of Columbia!!Estimate","Census Tract 78.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.01; District of Columbia; District of Columbia!!Estimate","Census Tract 96.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.02; District of Columbia; District of Columbia!!Estimate","Census Tract 96.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.03; District of Columbia; District of Columbia!!Estimate","Census Tract 96.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.04; District of Columbia; District of Columbia!!Estimate","Census Tract 96.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 97; District of Columbia; District of Columbia!!Estimate","Census Tract 97; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.01; District of Columbia; District of Columbia!!Estimate","Census Tract 98.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.02; District of Columbia; District of Columbia!!Estimate","Census Tract 98.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.03; District of Columbia; District of Columbia!!Estimate","Census Tract 98.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.04; District of Columbia; District of Columbia!!Estimate","Census Tract 98.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.07; District of Columbia; District of Columbia!!Estimate","Census Tract 98.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.10; District of Columbia; District of Columbia!!Estimate","Census Tract 98.10; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.11; District of Columbia; District of Columbia!!Estimate","Census Tract 98.11; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.01; District of Columbia; District of Columbia!!Estimate","Census Tract 99.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.02; District of Columbia; District of Columbia!!Estimate","Census Tract 99.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.03; District of Columbia; District of Columbia!!Estimate","Census Tract 99.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.04; District of Columbia; District of Columbia!!Estimate","Census Tract 99.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.05; District of Columbia; District of Columbia!!Estimate","Census Tract 99.05; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.06; District of Columbia; District of Columbia!!Estimate","Census Tract 99.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.07; District of Columbia; District of Columbia!!Estimate","Census Tract 99.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 104; District of Columbia; District of Columbia!!Estimate","Census Tract 104; District of Columbia; District of Columbia!!Margin of Error","Census Tract 109; District of Columbia; District of Columbia!!Estimate","Census Tract 109; District of Columbia; District of Columbia!!Margin of Error"
"Total:","1,935","±314","1,322","±588","280","±133","707","±243","987","±265","766","±406","1,139","±286","787","±374","1,201","±423","1,105","±381","722","±214","1,277","±470","1,059","±390","1,531","±424","1,584","±317","1,438","±437","2,531","±866","1,637","±412","849","±380","612","±251","1,410","±369","958","±394","752","±226","822","±182","1,141","±354","776","±273","628","±212","1,493","±344","1,321","±345","784","±242","1,400","±426","404","±124","413","±156","844","±314","801","±257","1,194","±380","300","±195","1,216","±412","566","±130","1,345","±729","757","±203","879","±279","913","±275","584","±162","830","±358","1,898","±726","1,222","±353"
"    Less than 10 minutes","435","±162","65","±97","0","±15","0","±15","49","±59","0","±15","0","±15","42","±53","0","±15","0","±15","26","±30","0","±15","7","±12","0","±15","115","±96","0","±15","0","±21","87","±84","0","±15","0","±15","70","±94","16","±26","14","±23","9","±13","0","±15","4","±9","63","±62","8","±12","14","±24","10","±14","43","±63","9","±15","0","±15","47","±53","0","±15","89","±97","1","±13","0","±15","0","±15","0","±15","12","±18","0","±15","204","±164","18","±22","9","±16","181","±247","199","±112"
"    10 to 14 minutes","273","±93","95","±105","0","±15","151","±147","65","±49","0","±15","91","±102","0","±15","0","±15","79","±81","146","±103","11","±17","0","±15","0","±15","160","±93","42","±67","56","±56","10","±16","188","±127","0","±15","29","±47","53","±97","65","±91","0","±15","44","±46","0","±15","1","±2","199","±162","136","±132","55","±60","0","±15","54","±46","7","±10","12","±20","0","±15","3","±34","8","±16","26","±40","10","±15","66","±85","12","±18","0","±15","0","±15","40","±47","12","±26","199","±125","24","±63"
"    15 to 19 minutes","257","±198","200","±199","8","±14","39","±48","110","±77","203","±172","112","±72","122","±190","139","±95","259","±213","163","±125","136","±110","217","±201","222","±233","129","±101","107","±105","136","±192","189","±129","83","±116","34","±36","55","±60","261","±349","57","±90","112","±90","126","±116","99","±94","51","±49","139","±148","182","±139","100","±70","170","±93","136","±71","31","±33","70","±60","68","±75","22","±27","93","±148","127","±116","80","±57","255","±304","98","±78","41","±48","62","±58","0","±15","67","±55","46","±49","311","±196"
"    20 to 24 minutes","163","±100","0","±21","0","±15","66","±52","114","±134","83","±92","175","±144","48","±57","58","±79","138","±96","78","±53","34","±42","224","±190","45","±59","154","±138","185","±119","52","±73","222","±140","13","±20","71","±77","283","±183","95","±123","190","±120","143","±126","156","±93","0","±15","18","±30","330","±164","150","±114","69","±55","30","±54","61","±63","28","±32","108","±97","49","±57","291","±161","50","±57","294","±193","26","±25","90","±78","181","±78","112","±69","148","±120","41","±38","106","±66","313","±166","204","±129"
"    25 to 29 minutes","258","±170","75","±95","0","±15","55","±88","51","±63","160","±155","103","±80","0","±15","0","±15","65","±81","28","±46","56","±57","115","±120","167","±120","295","±263","100","±119","294","±269","58","±56","15","±40","11","±18","168","±130","59","±54","13","±21","57","±47","258","±170","102","±113","7","±12","106","±96","142","±136","9","±16","0","±15","0","±15","27","±33","28","±45","82","±46","185","±165","0","±15","4","±30","0","±15","157","±94","47","±58","119","±119","47","±67","37","±38","24","±39","168","±126","112","±139"
"    30 to 34 minutes","218","±94","698","±507","197","±136","19","±32","313","±132","142","±169","306","±139","178","±128","222","±152","71","±58","31","±23","363","±241","262","±147","400","±348","186","±126","255","±172","873","±500","362","±268","205","±161","202","±116","182","±100","231","±205","89","±45","101","±61","115","±110","123","±107","217","±125","324","±172","221","±135","149","±111","200","±137","45","±34","96","±68","105","±93","111","±93","135","±103","79","±103","82","±122","158","±93","105","±94","150","±83","267","±173","210","±95","77","±66","121","±76","287","±316","203","±134"
"    35 to 44 minutes","179","±156","153","±136","14","±18","50","±69","93","±113","0","±15","93","±86","65","±85","2","±4","18","±25","48","±54","47","±71","45","±31","44","±56","260","±151","124","±107","218","±212","275","±202","125","±111","32","±40","100","±80","159","±136","49","±45","105","±77","203","±159","146","±94","82","±64","94","±80","17","±27","128","±98","329","±429","8","±12","30","±31","123","±103","144","±90","115","±107","0","±15","209","±229","99","±43","156","±110","144","±85","124","±105","51","±51","134","±78","296","±293","386","±412","0","±15"
"    45 to 59 minutes","73","±54","25","±42","61","±50","150","±140","120","±110","97","±100","128","±85","86","±77","195","±148","196","±151","149","±111","325","±231","95","±86","290","±160","145","±84","316","±308","246","±319","312","±187","76","±87","96","±86","290","±197","42","±43","206","±77","201","±81","214","±191","128","±105","111","±83","227","±182","267","±166","140","±89","393","±297","40","±39","37","±34","174","±142","130","±103","133","±108","0","±15","259","±207","129","±72","135","±84","26","±27","81","±63","106","±102","21","±29","145","±99","244","±142","81","±125"
"    60 or more minutes","79","±73","11","±19","0","±15","177","±82","72","±77","81","±107","131","±109","246","±226","585","±349","279","±160","53","±44","305","±213","94","±88","363","±221","140","±99","309","±249","656","±368","122","±97","144","±128","166","±141","233","±166","42","±38","69","±65","94","±47","25","±41","174","±146","78","±85","66","±52","192","±177","124","±87","235","±150","51","±46","157","±89","177","±160","217","±123","221","±282","69","±97","215","±116","64","±43","381","±418","87","±69","135","±102","85","±73","216","±92","50","±52","74","±80","88","±95"
"    Car, truck, or van:","1,634","±309","387","±209","141","±92","506","±297","661","±235","467","±291","643","±266","585","±349","529","±260","571","±227","365","±154","646","±287","657","±192","999","±457","1,195","±321","710","±264","1,641","±497","1,160","±411","350","±204","215","±136","788","±303","647","±375","269","±96","543","±160","926","±309","606","±231","420","±153","968","±317","908","±335","538","±148","522","±267","282","±129","290","±166","566","±280","395","±150","833","±333","186","±181","554","±278","412","±105","733","±167","494","±174","560","±235","674","±233","326","±147","360","±137","968","±430","549","±237"
