"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","DC","District of Columbia","District of Columbia","11001","11001000902","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","2.3",,,"2.0","2.6","2,317","1,731","POINT (-77.1077517 38.9285125)","11001000902","HLTHOUT","STROKE","CrdPrv","Stroke"
"2022","DC","District of Columbia","District of Columbia","11001","11001007404","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Crude prevalence","17.9",,,"14.8","21.2","3,637","2,449","POINT (-76.9820932 38.8503364)","11001007404","HLTHOUT","TEETHLOST","CrdPrv","All Teeth Lost"
"2023","DC","District of Columbia","District of Columbia","11001","11001007202","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Crude prevalence","1.1",,,"1.0","1.2","4,303","4,152","POINT (-77.0070741 38.8786426)","11001007202","HLTHOUT","CHD","CrdPrv","Coronary Heart Disease"
"2023","DC","District of Columbia","District of Columbia","11001","11001009603","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence","43.8",,,"39.5","48.1","3,971","3,034","POINT (-76.9477195 38.8918285)","11001009603","HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure"
"2023","DC","District of Columbia","District of Columbia","11001","11001009601","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence","8.7",,,"6.6","11.3","2,086","1,553","POINT (-76.9490606 38.90913)","11001009601","PREVENT","ACCESS2","CrdPrv","Health Insurance"
"2023","DC","District of Columbia","District of Columbia","11001","11001001803","BRFSS","Disability","Vision disability among adults","%","Crude prevalence","8.4",,,"7.4","9.4","4,102","3,066","POINT (-77.0419173 38.9672412)","11001001803","DISABLT","VISION","CrdPrv","Vision Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001009507","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","10.7",,,"9.1","12.5","1,525","1,243","POINT (-76.9977787 38.9584945)","11001009507","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress"
"2022","DC","District of Columbia","District of Columbia","11001","11001009203","BRFSS","Prevention","Colorectal cancer screening among adults aged 45–75 years","%","Crude prevalence","67.9",,,"63.3","72.3","2,775","2,389","POINT (-77.0054956 38.9219735)","11001009203","PREVENT","COLON_SCREEN","CrdPrv","Colorectal Cancer Screening"
"2023","DC","District of Columbia","District of Columbia","11001","11001007807","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","6.3",,,"5.3","7.3","2,114","1,622","POINT (-76.9210632 38.8985783)","11001007807","DISABLT","SELFCARE","CrdPrv","Self-care Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001000702","BRFSS","Health-Related Social Needs","Lack of reliable transportation in the past 12 months among adults","%","Crude prevalence","5.3",,,"4.5","6.3","3,452","3,175","POINT (-77.077893 38.9241271)","11001000702","SOCLNEED","LACKTRPT","CrdPrv","Transportation Barriers"
"2023","DC","District of Columbia","District of Columbia","11001","11001003302","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence","19.8",,,"17.1","22.8","2,434","2,131","POINT (-77.0111677 38.9139237)","11001003302","HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure"
"2023","DC","District of Columbia","District of Columbia","11001","11001005001","BRFSS","Disability","Independent living disability among adults","%","Crude prevalence","3.1",,,"2.7","3.6","2,012","1,874","POINT (-77.0295088 38.9119619)","11001005001","DISABLT","INDEPLIVE","CrdPrv","Independent Living Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001006700","BRFSS","Health-Related Social Needs","Loneliness among adults","%","Crude prevalence","31.3",,,"27.5","35.4","3,927","3,311","POINT (-76.989959 38.8875984)","11001006700","SOCLNEED","LONELINESS","CrdPrv","Loneliness"
"2023","DC","District of Columbia","District of Columbia","11001","11001009000","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Crude prevalence","15.9",,,"13.0","19.2","4,676","3,764","POINT (-76.9545101 38.9226934)","11001009000","SOCLNEED","HOUSINSECU","CrdPrv","Housing Insecurity"
"2023","DC","District of Columbia","District of Columbia","11001","11001000703","BRFSS","Disability","Vision disability among adults","%","Crude prevalence","2.7",,,"2.4","3.3","3,022","2,742","POINT (-77.0790462 38.9290941)","11001000703","DISABLT","VISION","CrdPrv","Vision Disability"
"2022","DC","District of Columbia","District of Columbia","11001","11001007803","BRFSS","Prevention","Mammography use among women aged 50-74 years","%","Crude prevalence","73.9",,,"66.8","79.9","4,590","3,540","POINT (-76.9407751 38.8962674)","11001007803","PREVENT","MAMMOUSE","CrdPrv","Mammography"
"2023","DC","District of Columbia","District of Columbia","11001","11001000704","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Crude prevalence","5.9",,,"5.0","7.0","2,753","2,430","POINT (-77.0752384 38.9300215)","11001000704","SOCLNEED","HOUSINSECU","CrdPrv","Housing Insecurity"
"2022","DC","District of Columbia","District of Columbia","11001","11001005202","BRFSS","Prevention","Mammography use among women aged 50-74 years","%","Crude prevalence","78.9",,,"72.8","84.1","3,408","3,167","POINT (-77.0344946 38.911127)","11001005202","PREVENT","MAMMOUSE","CrdPrv","Mammography"
"2023","DC","District of Columbia","District of Columbia","11001","11001009102","BRFSS","Health Outcomes","High cholesterol among adults who have ever been screened","%","Crude prevalence","33.1",,,"29.1","37.4","4,608","3,683","POINT (-76.9888946 38.9187926)","11001009102","HLTHOUT","HIGHCHOL","CrdPrv","High Cholesterol"
"2023","DC","District of Columbia","District of Columbia","11001","11001005503","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence","22.5",,,"19.6","25.6","2,492","2,330","POINT (-77.0523495 38.9062488)","11001005503","HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure"
"2022","DC","District of Columbia","District of Columbia","11001","11001001902","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Crude prevalence","69.6",,,"65.3","73.5","2,117","1,681","POINT (-77.0156458 38.9639299)","11001001902","PREVENT","DENTAL","CrdPrv","Dental Visit"
"2023","DC","District of Columbia","District of Columbia","11001","11001008804","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Crude prevalence","21.7",,,"16.6","27.1","2,417","2,063","POINT (-76.9812669 38.9102408)","11001008804","SOCLNEED","FOODSTAMP","CrdPrv","Food Stamps"
"2023","DC","District of Columbia","District of Columbia","11001","11001009400","BRFSS","Disability","Mobility disability among adults","%","Crude prevalence","11.7",,,"9.6","14.2","4,424","3,564","POINT (-76.9742464 38.9368061)","11001009400","DISABLT","MOBILITY","CrdPrv","Mobility Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001008001","BRFSS","Health-Related Social Needs","Loneliness among adults","%","Crude prevalence","33.2",,,"29.2","37.3","3,103","2,516","POINT (-76.9866524 38.8961726)","11001008001","SOCLNEED","LONELINESS","CrdPrv","Loneliness"
"2022","DC","District of Columbia","District of Columbia","11001","11001009508","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Crude prevalence","10.1",,,"8.2","12.1","4,243","3,497","POINT (-76.9985582 38.9536826)","11001009508","HLTHOUT","TEETHLOST","CrdPrv","All Teeth Lost"
"2023","DC","District of Columbia","District of Columbia","11001","11001009510","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.5",,,"4.0","5.1","4,525","3,296","POINT (-77.0046255 38.9455978)","11001009510","HLTHOUT","STROKE","CrdPrv","Stroke"
"2023","DC","District of Columbia","District of Columbia","11001","11001008701","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Crude prevalence","68.1",,,"65.3","70.9","2,814","2,404","POINT (-77.0062645 38.9141018)","11001008701","PREVENT","BPMED","CrdPrv","High Blood Pressure Medication"
"2023","DC","District of Columbia","District of Columbia","11001","11001005202","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","12.6",,,"10.9","14.6","3,408","3,167","POINT (-77.0344946 38.911127)","11001005202","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis"
"2023","DC","District of Columbia","District of Columbia","11001","11001002702","BRFSS","Prevention","Cholesterol screening among adults","%","Crude prevalence","89.7",,,"87.6","91.5","5,825","4,813","POINT (-77.0421774 38.930168)","11001002702","PREVENT","CHOLSCREEN","CrdPrv","Cholesterol Screening"
"2023","DC","District of Columbia","District of Columbia","11001","11001007804","BRFSS","Disability","Hearing disability among adults","%","Crude prevalence","5.5",,,"4.7","6.2","3,499","2,674","POINT (-76.9313427 38.8942107)","11001007804","DISABLT","HEARING","CrdPrv","Hearing Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001001401","BRFSS","Health-Related Social Needs","Lack of reliable transportation in the past 12 months among adults","%","Crude prevalence","3.4",,,"2.9","4.0","3,258","2,520","POINT (-77.0706075 38.9653036)","11001001401","SOCLNEED","LACKTRPT","CrdPrv","Transportation Barriers"
"2023","DC","District of Columbia","District of Columbia","11001","11001005601","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Crude prevalence","19.6",,,"16.5","23.0","2,900","2,852","POINT (-77.0524317 38.901567)","11001005601","SOCLNEED","EMOTIONSPT","CrdPrv","Lack of Social/Emotional Support"
"2023","DC","District of Columbia","District of Columbia","11001","11001007301","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","24.6",,,"20.7","28.9","3,841","2,645","POINT (-77.024445 38.834928)","11001007301","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","DC","District of Columbia","District of Columbia","11001","11001009802","BRFSS","Disability","Vision disability among adults","%","Crude prevalence","10.4",,,"8.9","12.2","2,064","1,375","POINT (-76.9965578 38.8307312)","11001009802","DISABLT","VISION","CrdPrv","Vision Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001005602","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","12.7",,,"10.9","15.0","4,100","3,946","POINT (-77.0554558 38.8988888)","11001005602","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","DC","District of Columbia","District of Columbia","11001","11001007708","BRFSS","Disability","Vision disability among adults","%","Crude prevalence","7.2",,,"6.0","8.5","2,574","1,900","POINT (-76.9606349 38.8871944)","11001007708","DISABLT","VISION","CrdPrv","Vision Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001001402","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Crude prevalence","4.5",,,"3.7","5.4","3,514","2,829","POINT (-77.0630933 38.9606051)","11001001402","SOCLNEED","HOUSINSECU","CrdPrv","Housing Insecurity"
"2023","DC","District of Columbia","District of Columbia","11001","11001008804","BRFSS","Health Outcomes","Cancer (non-skin) or melanoma among adults","%","Crude prevalence","4.6",,,"4.1","5.0","2,417","2,063","POINT (-76.9812669 38.9102408)","11001008804","HLTHOUT","CANCER","CrdPrv","Cancer (non-skin) or Melanoma"
"2023","DC","District of Columbia","District of Columbia","11001","11001007202","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","1.3",,,"1.1","1.7","4,303","4,152","POINT (-77.0070741 38.8786426)","11001007202","HLTHOUT","COPD","CrdPrv","COPD"
"2023","DC","District of Columbia","District of Columbia","11001","11001001100","BRFSS","Health-Related Social Needs","Loneliness among adults","%","Crude prevalence","31.0",,,"27.2","35.2","5,300","4,281","POINT (-77.0776732 38.9572432)","11001001100","SOCLNEED","LONELINESS","CrdPrv","Loneliness"
"2023","DC","District of Columbia","District of Columbia","11001","11001006600","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","6.9",,,"6.0","8.0","2,164","1,854","POINT (-76.9982439 38.8877585)","11001006600","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress"
"2023","DC","District of Columbia","District of Columbia","11001","11001009504","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","3.9",,,"3.3","4.8","3,208","2,696","POINT (-76.9931121 38.9409032)","11001009504","DISABLT","SELFCARE","CrdPrv","Self-care Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001009801","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","22.1",,,"18.6","26.4","1,848","1,419","POINT (-76.9963306 38.8328939)","11001009801","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","DC","District of Columbia","District of Columbia","11001","11001007409","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence","13.1",,,"9.6","17.0","3,835","2,579","POINT (-76.975165 38.8445818)","11001007409","PREVENT","ACCESS2","CrdPrv","Health Insurance"
