OBJECTID,GEOID,CATEGORY,LBR_IDX,STUSAB,STATE,STATE_NAME,COUNTY,COUNTY_NAME,TRACT,VERSION,Shape__Area,Shape__Length
26371,11001005900,census tract,96,DC,11,District of Columbia,001,District of Columbia,005900,AFFHT0006,1061437.01953125,4341.70079669088
29146,11001008302,census tract,99,DC,11,District of Columbia,001,District of Columbia,008302,AFFHT0006,432845.6875,3053.40306727932
29531,11001008402,census tract,95,DC,11,District of Columbia,001,District of Columbia,008402,AFFHT0006,455040.19140625,3466.62747252278
29532,11001008410,census tract,99,DC,11,District of Columbia,001,District of Columbia,008410,AFFHT0006,367054.8828125,2997.13766919113
29533,11001008701,census tract,83,DC,11,District of Columbia,001,District of Columbia,008701,AFFHT0006,634990.8125,3476.44030619977
29534,11001008702,census tract,36,DC,11,District of Columbia,001,District of Columbia,008702,AFFHT0006,785458.0390625,4758.98796372368
29535,11001008802,census tract,29,DC,11,District of Columbia,001,District of Columbia,008802,AFFHT0006,772450.5859375,3639.72859487405
29536,11001008803,census tract,4,DC,11,District of Columbia,001,District of Columbia,008803,AFFHT0006,1934925.1796875,6840.44106639689
29537,11001008804,census tract,8,DC,11,District of Columbia,001,District of Columbia,008804,AFFHT0006,1294090.6953125,5072.77075094456
29538,11001008903,census tract,21,DC,11,District of Columbia,001,District of Columbia,008903,AFFHT0006,507364.5,3723.8588915924
29539,11001008904,census tract,11,DC,11,District of Columbia,001,District of Columbia,008904,AFFHT0006,733324.18359375,4024.29709712125
29540,11001009000,census tract,38,DC,11,District of Columbia,001,District of Columbia,009000,AFFHT0006,2405906.10546875,6972.4480800811
29541,11001009102,census tract,25,DC,11,District of Columbia,001,District of Columbia,009102,AFFHT0006,3012590.14453125,8126.0122262085
29542,11001009201,census tract,55,DC,11,District of Columbia,001,District of Columbia,009201,AFFHT0006,1053963.67578125,4280.0868476925
29543,11001009203,census tract,62,DC,11,District of Columbia,001,District of Columbia,009203,AFFHT0006,959872.10546875,4429.35123310448
29544,11001009204,census tract,4,DC,11,District of Columbia,001,District of Columbia,009204,AFFHT0006,499883.2734375,3242.40319508686
29545,11001009301,census tract,73,DC,11,District of Columbia,001,District of Columbia,009301,AFFHT0006,1816439.33984375,5877.05024650639
29546,11001009302,census tract,62,DC,11,District of Columbia,001,District of Columbia,009302,AFFHT0006,658227.33984375,3540.44716738996
29547,11001009400,census tract,40,DC,11,District of Columbia,001,District of Columbia,009400,AFFHT0006,2617391.1328125,7068.77341613729
29553,11001009501,census tract,37,DC,11,District of Columbia,001,District of Columbia,009501,AFFHT0006,2652697.9609375,8025.07477849768
29554,11001009503,census tract,88,DC,11,District of Columbia,001,District of Columbia,009503,AFFHT0006,2356032.98828125,7007.73742759386
29555,11001009504,census tract,41,DC,11,District of Columbia,001,District of Columbia,009504,AFFHT0006,1694800.546875,5432.74915915403
