"Industries","2019 Jobs","2024 Jobs","National Average - 2024 Jobs","Change in Jobs","% Change in Jobs","2024 Employment Concentration","2024 Earnings Per Worker","2024 GRP"
"Government","254,926","253,966","118,521","-960","-0.4%","2.14","$184,966","$63,810,378,636"
"Professional, Scientific, and Technical Services","127,760","125,567","56,750","-2,193","-1.7%","2.21","$213,382","$37,822,703,194"
"Health Care and Social Assistance","70,039","75,561","110,881","5,521","7.9%","0.68","$101,928","$8,903,149,310"
"Other Services (except Public Administration)","75,386","72,235","40,554","-3,150","-4.2%","1.78","$132,399","$10,736,136,204"
"Accommodation and Food Services","41,570","67,606","67,477","26,036","62.6%","1.00","$53,997","$6,384,122,864"
"Educational Services","53,419","59,041","21,320","5,622","10.5%","2.77","$83,572","$5,796,502,711"
"Administrative and Support and Waste Management and Remediation Services","43,321","48,616","47,285","5,295","12.2%","1.03","$85,353","$5,176,773,892"
"Retail Trade","20,299","20,378","75,133","79","0.4%","0.27","$64,887","$2,591,756,026"
"Information","20,373","19,032","14,337","-1,341","-6.6%","1.33","$277,422","$11,738,784,000"
"Construction","16,285","15,184","47,438","-1,101","-6.8%","0.32","$109,224","$2,181,040,819"
"Finance and Insurance","15,319","14,531","32,669","-788","-5.1%","0.44","$289,245","$9,230,197,611"
"Real Estate and Rental and Leasing","14,303","14,220","14,208","-83","-0.6%","1.00","$135,276","$3,659,188,953"
"Arts, Entertainment, and Recreation","8,085","11,957","14,878","3,873","47.9%","0.80","$97,994","$1,875,045,006"
"Wholesale Trade","5,069","5,723","28,928","653","12.9%","0.20","$219,021","$2,271,563,458"
"Transportation and Warehousing","4,467","4,185","35,569","-282","-6.3%","0.12","$81,917","$585,544,522"
"Management of Companies and Enterprises","2,861","3,186","12,156","325","11.3%","0.26","$331,131","$1,304,548,716"
"Utilities","1,949","2,110","2,824","161","8.3%","0.75","$194,604","$1,314,780,826"
"Manufacturing","1,393","1,375","60,687","-18","-1.3%","0.02","$148,554","$550,532,900"
"Agriculture, Forestry, Fishing and Hunting","54","99","9,309","45","84.5%","0.01","$62,893","$9,808,557"
